,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
81,443.783099,444.367099,443.756899,0.8,0.125,,1.0,1.0,444.0959291940331,-0.125,0.0,0.0,0,1.0,0.0,-1,0.6102000000000203,0.6102000000000203,0.125,-0.21452779669359734,13.102385635807387,6.233773469428221,0.7909980045596826,0.951002388495383,0.04899761150217302,1.2060263625898895e-100,1,0
82,448.46599899999995,449.149499,448.43989899999997,0.8,0.0,,1.0,1.0,448.9219291940331,-0.0,0.0,0.25,0,1.0,0.0,-1,0.7096000000000231,0.7096000000000231,0.0,-0.14898639317631587,12.030925875139388,7.34520269036293,1.0098481218592525,0.9864889622892817,0.013511037708357222,2.3032794839398287e-129,1,0
83,452.215099,452.606299,452.196499,0.2,,0.25,1.0,-1.0,452.4029291940331,0.25,0.0,0.0,0,1.0,1.0,1,0.40979999999996153,0.40979999999996153,0.25,-0.3874280459348646,10.735548810324778,6.18736860404412,0.5869118677950206,0.7315121926216634,0.26848780737583866,2.269129831997018e-117,1,0
84,460.43129899999997,462.250499,460.432299,0.2,0.0625,,1.0,1.0,461.81292919403313,-0.0625,1.0,1.0,0,1.0,0.0,-1,1.8181999999999903,1.8181999999999903,0.0625,0.2596416534288583,12.454319016759055,0.5051280083445211,0.23188642306238538,1.775598464168496e-14,0.004520720111902905,0.9954792798856824,0,1
85,465.43149900000003,466.782899,465.421199,0.2,,0.0625,-1.0,1.0,466.4649291940331,0.0625,1.0,1.0,0,0.0,0.0,1,1.3616999999999848,1.3616999999999848,0.0625,0.13408143746250675,12.195714760584424,1.4808070529640343,0.6492135002047216,8.41672491114514e-09,0.9473024440235962,0.052697547557347735,2,1
86,470.63049900000004,471.20999900000004,470.625499,0.2,0.0625,,1.0,1.0,470.86092919403313,-0.0625,1.0,1.0,0,1.0,0.0,-1,0.5845000000000482,0.5845000000000482,0.0625,-0.23321548450210527,14.117055367864873,6.949400142828623,0.9308840811837523,0.9709415677294706,0.029058432268080202,4.421314316198125e-120,1,1
87,474.614399,475.245399,474.601399,0.2,,0.25,1.0,-1.0,474.7629291940331,0.25,1.0,1.0,0,1.0,1.0,1,0.6440000000000055,0.6440000000000055,0.25,-0.19111413264018423,13.077135049643383,7.275060373544693,0.6958479032375798,0.9506439385214411,0.049356061475940315,1.8551531747631786e-164,1,0
88,478.780699,479.184999,478.761299,0.2,,1.0,1.0,-1.0,478.92592919403313,1.0,1.0,1.0,0,1.0,1.0,1,0.42369999999999663,0.42369999999999663,1.0,-0.3729415359990138,12.971314221072884,6.2062358597914375,0.8040858231771678,0.9432284865720021,0.05677151342528998,1.2048543637281766e-99,1,0
89,482.362999,482.775399,482.350299,0.2,,0.25,1.0,-1.0,482.5079291940331,0.25,1.0,1.0,0,1.0,1.0,1,0.42509999999998627,0.42509999999998627,0.25,-0.3715088950328912,13.29404395526967,6.173091129555057,0.7110641054487357,0.8724945202597912,0.12750547973738058,3.829569564124579e-106,1,0
90,486.296899,487.204599,486.296199,0.2,,0.0,1.0,-1.0,486.98492919403316,0.0,1.0,0.75,0,1.0,1.0,1,0.9083999999999719,0.9083999999999719,0.0,-0.04172287445231585,10.556422832619518,6.688389671842257,0.7691394778279287,0.610128917640834,0.38987108235632445,2.0037975115399708e-120,1,0
91,491.745799,495.676199,491.740799,0.2,,0.0625,1.0,-1.0,495.45092919403317,0.0625,1.0,1.0,0,1.0,1.0,1,3.9354000000000156,3.9354000000000156,0.0625,0.5949888812856804,11.782384976628657,0.4131935024013122,0.2057074925809815,1.8263644742341852e-15,0.000617206646252705,0.9993827933509853,0,1
92,498.92849900000004,499.789999,498.924999,0.2,,1.0,1.0,-1.0,499.01192919403314,1.0,1.0,1.0,0,1.0,1.0,1,0.8650000000000091,0.8650000000000091,1.0,-0.06298389253518122,13.560148080898047,6.053180145720641,0.6327622580642361,0.599816740803319,0.4001832591939252,1.4134930738109174e-108,1,1
