,log_likelihood,n_states,subject,pid
15,-28269.41608424909,17,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
16,-28333.23345966029,18,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
17,-28274.60994749699,19,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
18,-28205.18492315079,20,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
0,-40329.18396874471,2,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
1,-39987.43439592572,3,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
2,-39525.768523864695,4,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
3,-39429.50851398913,5,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
4,-39427.13078524793,6,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
5,-39274.964107972664,7,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
6,-39325.80186417462,8,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
7,-39175.48802792861,9,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
8,-39079.7174611963,10,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
9,-39246.560971581195,11,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
10,-39349.710670155,12,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
11,-39230.219998260945,13,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
12,-39184.343398110854,14,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
13,-39137.65715194675,15,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
14,-39103.17083103516,16,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
15,-39193.1746603567,17,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
16,-39067.79152880845,18,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
17,-39033.089321992295,19,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
18,-39124.67620589559,20,ZFM-03329,c9a47fb2-3348-4184-8c08-c7e4940e9264
0,-54006.85006120497,2,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
1,-53322.24730167163,3,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
2,-53336.86731454592,4,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
3,-53092.6070243715,5,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
4,-53149.163143133475,6,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
5,-52760.90326563512,7,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
6,-52801.81857982199,8,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
7,-52598.52630977454,9,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
8,-52492.756736710304,10,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
9,-52520.9842577725,11,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
10,-52532.170134983746,12,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
11,-52636.353659670334,13,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
12,-52720.17418833464,14,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
13,-52320.052547959946,15,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
14,-52488.81186611043,16,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
15,-52527.276408920225,17,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
16,-52728.71809536095,18,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
17,-52529.93740112235,19,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
18,-52635.41666578583,20,ZFM-03323,605aaf5d-9a95-4c2d-8cb9-dccf596c6452
0,-11004.845476415649,2,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
1,-10493.02488279264,3,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
2,-10417.969779989502,4,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
3,-10187.745842634606,5,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
4,-10084.862700880976,6,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
5,-9982.213686704275,7,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
6,-9970.306552511052,8,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
7,-9933.50665521081,9,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
8,-9902.83953000469,10,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
9,-9930.361240304905,11,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
10,-9866.54277591465,12,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
11,-9900.474496956042,13,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
12,-9860.780272302922,14,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
13,-9832.811506293749,15,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
14,-9872.870034571522,16,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
15,-9848.440330052821,17,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
16,-9829.953544101796,18,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
17,-9911.519578927697,19,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
18,-9858.392323784858,20,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684
0,-40610.95088747585,2,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
1,-40399.13134757221,3,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
2,-40223.30232153636,4,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
3,-40113.41712951898,5,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
4,-40105.490854131844,6,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
5,-40109.57708545884,7,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
6,-40014.50386294309,8,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
7,-39846.72916166387,9,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
8,-39768.47529716269,10,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
9,-39946.882792443736,11,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
10,-39902.38399551952,12,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
11,-39646.625477623464,13,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
12,-39963.368015071006,14,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
13,-39781.06915763007,15,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
14,-39896.625372680886,16,ZFM-02601,848a5413-2100-4587-bbcd-b8145b766d80
