,dg_spike_freq,time,subject,date,probe,pid
4,2.318280198828017e-68,0.125,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
5,2.0353639693440817e-88,0.375,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
6,2.318280198828017e-68,0.625,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
7,1.0194812742513023e-50,0.875,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
8,8.654700998612169e-36,1.125,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
9,1.418353132108969e-23,1.375,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
10,4.487207611577225e-14,1.625,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
11,2.7404850890754094e-07,1.875,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
12,0.003231009323775676,2.125,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
13,0.0735374332553411,2.375,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
14,0.003231009323775676,2.625,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
15,2.7404850890754094e-07,2.875,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
16,4.487207611577225e-14,3.125,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
17,1.418353132108969e-23,3.375,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
18,8.654700998612169e-36,3.625,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
19,1.0194812742513023e-50,3.875,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
0,1.418353132108969e-23,-0.875,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
1,4.487207611577225e-14,-0.625,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
2,2.7404850890754094e-07,-0.375,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
3,0.003231009323775676,-0.125,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
4,0.0735374332553411,0.125,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
5,0.003231009323775676,0.375,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
6,2.7404850890754094e-07,0.625,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
7,4.487207611577225e-14,0.875,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
8,1.418353132108969e-23,1.125,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
