,psd_max,psd_mean,region,subject,date
66,761.5773373946304,397.83405356039987,Amygdala,ZFM-03323,2022-04-05
67,1656.6040354763195,529.5858945605785,Hippocampus,ZFM-03323,2022-04-05
68,17706.20853470482,3352.5811920989086,Thalamus,ZFM-03323,2022-04-05
69,58412.512686828384,15729.08610768559,Cortex,ZFM-03323,2022-04-05
70,379.90417259626037,211.87184683848972,Amygdala,ZFM-03321,2022-03-23
71,614.04239510538,270.1453529354041,Hippocampus,ZFM-03321,2022-03-23
72,26070.553096136726,12631.9508251839,Cortex,ZFM-03321,2022-03-23
73,2090.850968450152,978.6965053567574,Cortex,ZFM-03321,2022-03-22
74,413.5046123200293,150.66775373670436,Striatum,ZFM-03321,2022-03-22
75,13185.627787471709,5806.586300143908,Midbrain,ZFM-03331,2022-03-11
76,44068.341967450935,22822.85535908998,Cortex,ZFM-03331,2022-03-11
77,269.42248464439496,153.4660406157568,Amygdala,ZFM-03331,2022-03-10
78,3612.739337080561,1219.3471176345663,Thalamus,ZFM-03331,2022-03-10
79,4641.839586736786,1530.71238159034,Cortex,ZFM-03331,2022-03-10
80,4093.4204144781934,1906.2857344094111,Hippocampus,ZFM-03331,2022-03-08
81,44987.850834172146,15258.372549795462,Thalamus,ZFM-03331,2022-03-08
82,2546.1576288896053,1018.1529436698281,Cortex,ZFM-03329,2022-03-03
83,353.42528237602585,137.02206305822867,Hippocampus,ZFM-03329,2022-03-03
84,95983.31403372072,41860.069396370614,Thalamus,ZFM-03329,2022-03-03
85,5622.748770226278,2357.2994228243774,Midbrain,ZFM-03329,2022-03-02
86,464.308148971374,204.9675121998439,Amygdala,ZFM-03329,2022-03-01
87,773.3061076392539,332.3264103881444,Cortex,ZFM-03330,2022-02-18
88,389.2896060532736,123.15005101721765,Hippocampus,ZFM-03330,2022-02-18
89,154.97319767839724,62.35721072815502,Striatum,ZFM-03330,2022-02-18
90,1126.5802176769816,483.4050107186393,Amygdala,ZFM-03332,2022-02-18
91,33.4267103551657,17.754380665097916,Hippocampus,ZFM-03332,2022-02-18
92,685.1511075203969,256.02647901232154,Cortex,ZFM-03330,2022-02-17
93,942.9437831249429,676.9164046452622,Hippocampus,ZFM-03330,2022-02-17
94,4779.8697921844105,2043.9212311351325,Thalamus,ZFM-03330,2022-02-17
95,1155.1925078353327,462.8394791590029,Midbrain,ZFM-03330,2022-02-17
96,507.0059875765222,250.69570364003462,Hippocampus,ZFM-03332,2022-02-17
97,9247.275401143426,3741.9073923803016,Thalamus,ZFM-03332,2022-02-17
98,8363.452207553397,2577.0004859826945,Midbrain,ZFM-03332,2022-02-17
