,log_likelihood,n_states,subject,pid
9,-42680.18031674376,11,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
10,-42648.43320308439,12,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
11,-42585.55731000201,13,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
12,-42499.557632191856,14,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
13,-42547.698470686526,15,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
14,-42493.16653768648,16,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
15,-42443.01558028978,17,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
16,-42471.88958750874,18,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
17,-42413.56984480222,19,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
18,-42476.1249472101,20,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
0,-69137.43661983016,2,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-66813.76304696959,3,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-65364.86862698264,4,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-64641.3827144154,5,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-64095.43122071973,6,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-63924.248123905076,7,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-63669.884114058004,8,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-63406.33104666032,9,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-63314.791599489465,10,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
9,-63122.06380182385,11,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-63020.03700390191,12,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-62894.80693141537,13,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-62836.607202227206,14,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-62772.12178668545,15,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-62724.61294392806,16,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-62541.93001145818,17,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-62459.132587813765,18,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-62483.16062675389,19,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-62226.09624629946,20,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-21111.49032904512,2,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-20362.470905230497,3,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-20059.627430084416,4,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-19928.76878297231,5,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-19756.642690135897,6,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-19674.668007990636,7,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-19596.01283981674,8,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-19520.641222236503,9,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-19475.14846110668,10,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
9,-19368.8824881565,11,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-19338.87749284578,12,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-19391.1137702126,13,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-19254.624758241498,14,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-19299.258751073907,15,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-19257.97915821553,16,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-19205.999823779788,17,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-19190.556721143344,18,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-19268.087979741806,19,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-19134.596443610215,20,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-6959.615006457233,2,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-6568.449431729439,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-6567.845308812212,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
