,log_likelihood,n_states,region,subject,pid
9,-48505.339364030435,11,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-48306.97839023097,12,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-48291.217101613634,13,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-48077.37930288735,14,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-48035.74142842525,15,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-48047.028397498274,16,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-47912.980591974796,17,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-47803.03448568345,18,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-47804.791327201005,19,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-47692.26646423624,20,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-12656.111798583708,2,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-12365.111159789532,3,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-12230.383006416752,4,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-12145.739385948682,5,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-11995.248440937314,6,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-11907.73931229734,7,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-11851.301776984745,8,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-11823.912337417252,9,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-11769.368826560778,10,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-11739.24732658846,11,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-11747.737974554602,12,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-11706.771553536346,13,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-11722.204074313551,14,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-11687.188371742857,15,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-11698.910092941522,16,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-11557.142917166602,17,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-11667.100436610126,18,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-11646.075933834503,19,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-11633.728030776543,20,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-15952.32978100677,2,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-15574.751054987515,3,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-15150.71077726743,4,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-14983.092472371036,5,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-14990.462005988684,6,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-14819.85925573093,7,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-14750.584544168009,8,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-14733.979255300977,9,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-14692.63561285272,10,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-14579.651092076641,11,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-14573.747920705198,12,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
