state,r,p,subject,date,region,file_name
2,0.07412196680385529,0.07200704980834652,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
3,0.105380137359934,0.01042567984731587,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
4,0.13161925647910724,0.0013544283863897806,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
5,0.12791394198108602,0.0018505329517958737,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
6,-0.014305456347794536,0.7287722536328708,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
0,0.11625241058456415,0.004693282337972648,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
1,0.17794055697950376,1.3754830905002152e-05,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
2,0.024812149131711925,0.5475073489115893,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
3,0.17444757564675006,2.0347242379383806e-05,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
4,0.044697980353749195,0.278387193789876,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
5,-0.3806612911178798,8.806578587616396e-22,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
6,-0.268853569162761,3.153794976355741e-11,ZFM-02600,2021-08-28,mPFC,ZFM-02600_2021-08-28_mPFC.pickle
0,0.06762780651489002,0.10078304817982343,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
1,0.005280271124500064,0.8981598661115372,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
2,0.025615604210255553,0.534610640652806,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
3,0.0796841811623581,0.05305238301918885,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
4,0.020326582200854666,0.622199975344829,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
5,-0.04707736828417355,0.2535731921678127,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
6,-0.019409926343793103,0.6379907222737012,ZFM-02600,2021-08-28,OFC,ZFM-02600_2021-08-28_OFC.pickle
0,-0.022775005028091138,0.5808788961944081,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
1,-0.0027804626175718526,0.9462679615677025,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
2,0.04187677270994211,0.30988107208076404,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
3,0.020419726689485135,0.620604927031843,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
4,0.09035318787315459,0.02819896598424997,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
5,-0.06956294191855633,0.09138434306206288,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
6,-0.04769595830564745,0.2473817548419511,ZFM-02600,2021-08-28,Pir.,ZFM-02600_2021-08-28_Pir..pickle
0,-0.05047745517890422,0.22084907767532264,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
1,0.1838486282891711,6.971280820724515e-06,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
2,-0.2046828029662879,5.320812203312543e-07,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
3,0.2121544220087336,1.9756856335175348e-07,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
4,-0.000232429680796232,0.9955049619751105,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
5,0.020692518165690958,0.6159437712159609,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
6,0.018075108388763632,0.6612793133474838,ZFM-02600,2021-08-28,Str.,ZFM-02600_2021-08-28_Str..pickle
0,0.21139631479739826,3.8194685152310187e-10,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
1,-0.23883341596554214,1.2774082335961658e-12,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
2,0.15915010513456057,2.7275888679569104e-06,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
3,-0.05072092411671065,0.13722021292592626,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
4,0.013568069286309978,0.6911215724021671,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
5,0.2729676982238927,3.682097202173271e-16,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
6,-0.26576954846386514,2.271928985806998e-15,ZFM-02601,2021-11-16,Amyg.,ZFM-02601_2021-11-16_Amyg..pickle
0,0.0944631891862264,0.005564858022402391,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
1,-0.17144473010010147,4.238353883516742e-07,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
2,-0.007868284435510395,0.8177721397038006,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
3,0.1339402395307856,8.149803518955992e-05,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
4,-0.11566878321116124,0.000677430210722099,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
5,0.18621293945956913,3.774789035633565e-08,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
6,-0.08490661686247988,0.01274456801827146,ZFM-02601,2021-11-16,M2,ZFM-02601_2021-11-16_M2.pickle
0,0.2534504236031924,4.510685340137732e-14,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
1,0.017741965061203752,0.6033558572973712,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
2,0.10491079420916845,0.002065712285267469,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
3,0.04173392635140729,0.2214688818525754,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
4,-0.10927629073820959,0.0013293596543809457,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
5,-0.35552659480893506,5.0590663029662214e-27,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
6,0.2917828110597166,2.4347363049627206e-18,ZFM-02601,2021-11-16,mPFC,ZFM-02601_2021-11-16_mPFC.pickle
0,0.014196915172410016,0.6775924466510237,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
1,0.43962312381386376,5.979375579426656e-42,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
2,-0.09904731105062686,0.003642547150634208,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
3,0.13108908548467305,0.0001155672227084849,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
4,0.0844855718257278,0.01319612416609657,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
5,-0.18496774467792518,4.6646582563004185e-08,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
6,-0.25800435536494937,1.5221255431955394e-14,ZFM-02601,2021-11-16,OFC,ZFM-02601_2021-11-16_OFC.pickle
0,-0.27951021161009265,6.714522115177161e-17,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
1,-0.10609357159733182,0.0018360479277745258,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
2,-0.27339138940866664,3.3024340967798495e-16,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
3,-0.2677610504584663,1.3807722689451793e-15,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
4,0.4566693048376978,1.577564716159032e-45,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
5,-0.04007547674614478,0.24039263311543962,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
6,0.3049597816787667,5.74730530445178e-20,ZFM-02601,2021-11-16,Thal.,ZFM-02601_2021-11-16_Thal..pickle
