,log_likelihood,n_states,region,subject,pid
13,-6728.836015397013,15,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
14,-6735.032037530597,16,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
15,-6708.506008687728,17,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
16,-6687.227686558663,18,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
17,-6725.305976469463,19,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
18,-6701.276641655096,20,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
0,-6372.675729694425,2,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
1,-6274.600032041868,3,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
2,-6132.794242545789,4,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
3,-5999.920587516488,5,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
4,-5984.665881801226,6,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
5,-5946.783929120067,7,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
6,-5942.415984835607,8,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
7,-6006.528039439373,9,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
8,-5998.711691571718,10,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
9,-5896.442684945492,11,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
10,-5893.036768683983,12,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
11,-5878.511266089058,13,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
12,-5887.934218313028,14,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
13,-5864.910416731633,15,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
14,-5879.705732239378,16,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
15,-5861.256386186197,17,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
16,-5866.543602918125,18,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
17,-5859.01072830268,19,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
18,-5869.762295827268,20,Midbrain,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
0,-1739.8469710051138,2,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
1,-1714.1797454517846,3,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
2,-1703.1031295227035,4,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
3,-1693.8990778496736,5,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
4,-1684.8523866700027,6,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
5,-1685.4828372422778,7,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
6,-1684.6584063578202,8,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
7,-1688.8770569681055,9,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
8,-1671.7631388317036,10,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
9,-1668.327467784447,11,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
10,-1689.3101855374384,12,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
11,-1684.2779960329708,13,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
12,-1673.478086863446,14,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
13,-1669.6859162474948,15,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
14,-1679.4952231743869,16,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
15,-1661.5478750170985,17,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
16,-1664.7667961215636,18,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
17,-1685.883056548403,19,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
18,-1679.9271218492183,20,Amygdala,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
0,-5142.398897843945,2,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
1,-5106.793405833105,3,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
2,-5067.278605526981,4,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
3,-5053.519333703347,5,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
4,-5058.0614544004775,6,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
5,-5021.045028136948,7,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
6,-5025.61770423976,8,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
7,-5010.069509686714,9,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
8,-5007.731789640733,10,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
9,-5013.97150617041,11,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
10,-5004.637924001698,12,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
11,-5003.062982107758,13,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
12,-5010.141114550877,14,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
13,-5010.603118167498,15,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
14,-5005.355337862686,16,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
15,-4997.243449283901,17,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
16,-5001.7078253265745,18,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
17,-4989.147263552861,19,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
18,-4986.584910463607,20,Hippocampus,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d
0,-16014.074379643855,2,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
1,-15894.721080101222,3,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
2,-15825.696949349229,4,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
3,-15774.671058603133,5,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
4,-15741.348287918914,6,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
5,-15682.204846783794,7,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
6,-15655.238167249281,8,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
7,-15711.428194727521,9,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
8,-15579.229102519274,10,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
9,-15661.974827510898,11,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
10,-15690.532929614641,12,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
11,-15732.911799474165,13,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
12,-15687.523466392051,14,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
13,-15572.823728255276,15,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
14,-15583.22851692214,16,Midbrain,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33
