,log_likelihood,n_states,subject,pid,region
4,-6848.87749600751,6,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
5,-6807.765780374091,7,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
6,-6798.217618450341,8,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
7,-6806.647406742835,9,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
8,-6760.8622165093875,10,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
9,-6760.376010550658,11,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
10,-6758.264060885711,12,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
0,-6334.28570641555,2,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
1,-6296.397496573407,3,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
2,-6040.262207846615,4,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
3,-5981.17072114211,5,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
4,-5963.5391557095245,6,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
5,-5938.749876263366,7,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
6,-5924.250913172878,8,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
7,-5905.25305209401,9,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
8,-5881.7375484958575,10,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
9,-5886.534008655245,11,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
10,-5900.99449095011,12,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,Midbrain
0,-1716.5376863155045,2,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
1,-1714.1797454521397,3,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
2,-1704.0147123590277,4,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
3,-1696.2463746158776,5,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
4,-1680.9095948014701,6,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
5,-1690.6297674117154,7,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
6,-1680.4578185021307,8,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
