,ripple_freq,time,subject,date,probe,pid
0,0.1666663561145503,-0.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
1,0.12500232914087273,-0.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
2,0.7083313147445769,0.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
3,0.7499978261351855,0.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
4,0.20833504136997338,1.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
5,0.12500015527605818,1.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
6,0.08333410971362425,2.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
7,0.2499998447239418,2.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
8,0.37499860251547634,3.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
9,0.12500062110423274,3.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
0,0.12000163971517445,-0.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
1,0.3999982112198097,-0.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
2,0.20000059626006347,0.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
3,0.15999985093498412,0.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
4,0.08000044719504756,1.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
5,0.11999985093498415,1.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
6,0.12000089439009516,2.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
7,0.3599986584148573,2.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
8,0.2400007453250793,3.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
9,0.3199994037399366,3.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
0,0.15999940373993657,-0.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
1,0.12,-0.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
2,0.08000044719504755,0.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
3,0.15999925467492074,0.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
4,0.04000074532507929,1.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
5,0.11999985093498415,1.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
6,0.15999940373993657,2.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
7,0.04000089439009514,2.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
8,0.15999940373993657,3.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
9,0.12,3.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
0,0.23999895654488898,-0.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
1,0.08000134158514267,-0.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
2,0.2799982112198098,0.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
3,1.639715174415106e-06,0.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
4,0.159998956544889,1.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
5,0.04000059626006343,1.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
6,0.08,2.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
7,0.1200002981300317,2.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
8,0.23999895654488898,3.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
9,0.08000134158514267,3.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
