,subject,date,eid,pid,sert-cre,region,to_down_peths,to_up_peths,time
3,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.09914173806684687,0.04079398053048995,-0.30000000000000004
4,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.1305201677594793,0.02960970185451124,-0.1
5,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.11939430803241911,0.029596615571060858,0.1
6,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.1844855771333988,0.040364181148182875,0.30000000000000004
7,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.43091144657705854,0.025097275298878792,0.5
8,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.7011613572338469,0.01623863257175441,0.7000000000000001
9,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.8096456733834829,0.050261611942735235,0.9
10,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.760742754399777,0.09919644526737427,1.1
11,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.5743645182259413,0.16200282035661695,1.3000000000000003
12,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.37401756968913746,0.3417231715200314,1.5
13,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.2444628525664354,0.5733813479089553,1.7000000000000002
14,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.1103806172477713,0.7155016376433235,1.9
15,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.023007730729655233,0.719046197210294,2.1
16,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.007212882552546126,0.5339969226860624,2.3000000000000003
17,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.024694090248944464,0.29738684481916894,2.5
18,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.045293920357581376,0.20505493127870747,2.7
19,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.04839414707707625,0.20895396109887726,2.9000000000000004
20,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.04529332445459855,0.17943999571824804,3.1
21,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.024640258376447153,0.08561961493521413,3.3000000000000003
22,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.005412776988836767,0.03330786778477006,3.5
23,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.0004700995557829478,0.07394783670096707,3.7
24,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,181aeeb1-9858-4562-9d7c-1ce21959cd80,1,Striatum,0.0008997533077381764,0.11972342845146894,3.9000000000000004
0,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.24408896018285162,0.33942501847527345,-0.9
1,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.3523548670351191,0.3425515676597621,-0.7000000000000001
2,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.4740152945008034,0.32108257055239503,-0.5
3,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.493976939667004,0.2847191164403908,-0.30000000000000004
4,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.428846410865338,0.280329484271027,-0.1
5,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.36719807562147466,0.28428649188223115,0.1
6,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.4526038644532948,0.2525328243719759,0.30000000000000004
7,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.5975053044861031,0.23732301246116763,0.5
8,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.5864299583009769,0.336405414349355,0.7000000000000001
9,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.36720906886781124,0.47617473743865263,0.9
10,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.18890046516828712,0.5577688012199231,1.1
11,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.13010833909008745,0.6443239887159234,1.3000000000000003
12,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.1090513594749297,0.6813372659099839,1.5
13,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.12115142872836618,0.5192823187425233,1.7000000000000002
14,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.12061250620231918,0.323329163171784,1.9
15,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.12263041604749941,0.2655586611121765,2.1
16,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.1936904559965587,0.1887705479649457,2.3000000000000003
17,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.34760795470539124,0.10288020051043378,2.5
18,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.5504691249951622,0.09193244379360589,2.7
19,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.6612351396124236,0.14627352882426414,2.9000000000000004
20,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.49086511074983774,0.19504482975795237,3.1
21,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.28717084325452985,0.23456516883744527,3.3000000000000003
22,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.2497256182465174,0.29453369031811966,3.5
23,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.24002835782324752,0.33855099354683277,3.7
24,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Cortex,0.20312922163224112,0.3371530602550103,3.9000000000000004
0,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.08873200393384112,0.054236426106145166,-0.9
1,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.07490302630362541,0.04574989231044409,-0.7000000000000001
2,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.05469299396929949,0.024653788855724636,-0.5
3,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.05159217377169813,0.005412628925388852,-0.30000000000000004
4,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.05424995780060072,0.00044333472869117444,-0.1
5,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.0695039290736066,1.3533519961326237e-05,0.1
6,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.06453463426840718,1.3830254447961556e-05,0.30000000000000004
7,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.029609552575883734,0.00047024883623588483,0.5
8,ZFM-04820,2022-09-15,73fa004c-eac3-4b34-997a-9b4268990474,366c7c11-5509-443f-b07b-dabc9dcfd53e,1,Hippocampus,0.005842430134118196,0.006312232953587059,0.7000000000000001
