,time,coact,region1,region2,opto,region_pair,subject,date
14,1.9000000000000008,0.3170731707317073,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
15,2.100000000000001,0.358974358974359,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
16,2.300000000000001,0.3333333333333333,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
17,2.5000000000000013,0.32558139534883723,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
18,2.7000000000000015,0.34146341463414637,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
19,2.9000000000000012,0.37209302325581395,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
20,3.100000000000002,0.3953488372093023,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
21,3.300000000000001,0.375,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
22,3.5000000000000013,0.3684210526315789,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
23,3.7000000000000015,0.3888888888888889,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
24,3.9000000000000017,0.4444444444444444,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
0,-0.9,0.36363636363636365,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
1,-0.7,0.34146341463414637,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
2,-0.4999999999999999,0.358974358974359,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
3,-0.2999999999999998,0.35,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
4,-0.09999999999999976,0.4166666666666667,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
5,0.10000000000000042,0.40476190476190477,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
6,0.3000000000000004,0.42857142857142855,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
7,0.5000000000000003,0.4,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
8,0.7000000000000005,0.41304347826086957,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
9,0.9000000000000007,0.391304347826087,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
10,1.100000000000001,0.4444444444444444,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
11,1.3000000000000007,0.4186046511627907,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
12,1.5000000000000009,0.4146341463414634,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
13,1.700000000000001,0.4444444444444444,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
14,1.9000000000000008,0.4857142857142857,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
15,2.100000000000001,0.5641025641025641,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
16,2.300000000000001,0.5789473684210527,Midbrain,Sensory cortex,1,Midbrain-Sensory cortex,ZFM-04820,2022-09-14
