,time,r_mean,r_permut,region1,region2,region_pair,subject,date,probe
28,2.0499999999999994,0.019304701110470696,0.4194936520382043,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
29,2.1499999999999995,0.019549807099659717,0.22133935867280682,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
30,2.249999999999999,0.017608131328069425,0.22049070609014015,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
31,2.349999999999999,0.015329475632910206,0.4034249286632603,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
32,2.4499999999999993,0.013329253446336791,0.3819215804664443,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
33,2.5499999999999994,0.011652303594975637,0.35450372362590593,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
34,2.6499999999999995,0.007994738936346234,0.27888734719866703,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
35,2.749999999999999,-0.0020527855465278604,0.3432154338228819,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
36,2.849999999999999,-0.0033682971295147996,0.29453344784629143,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
37,2.9499999999999993,-0.004593244189328968,0.22432583406975945,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
38,3.049999999999999,-0.0058608411622844084,0.36012942418833943,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
39,3.149999999999999,-0.0008262683387370406,0.24076091277003037,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
40,3.249999999999999,0.005774375698474138,0.24604333251218752,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
41,3.3499999999999988,0.004229074610134098,0.2767442376875987,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
42,3.4499999999999993,0.005590172052540648,0.2910349690917955,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
43,3.549999999999999,0.0035728800745919776,0.23728373855047585,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
44,3.6499999999999986,0.0014405793276309586,0.27437198801279583,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
45,3.749999999999999,0.0006623680648712216,0.2114390109820631,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
0,-0.75,-0.004990721211505722,0.21466730472660817,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
1,-0.65,-0.0036165129317912064,0.13120684806946287,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
2,-0.55,-0.006148869002904054,0.24313601282316627,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
3,-0.45000000000000007,-0.01105491009432331,0.27984277322808115,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
4,-0.3500000000000001,-0.010062373837038422,0.3120906776773461,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
5,-0.2500000000000001,0.0027777981483903037,0.3454322845668617,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
6,-0.15000000000000013,0.013174244434631686,0.36531897226700716,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
7,-0.050000000000000155,0.019310226466748272,0.3804047055468774,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
8,0.04999999999999982,0.016576150311396132,0.41355159127876434,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
9,0.1499999999999998,0.017428159565860222,0.38383778132377366,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
10,0.24999999999999978,0.012919327205538605,0.30741003007062445,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
11,0.34999999999999964,0.013987117528078692,0.40651594669073604,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
12,0.44999999999999973,0.025073322514970502,0.41679068479507125,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
13,0.5499999999999998,0.024038555420201127,0.3763473169202807,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
14,0.6499999999999997,0.019959044802221458,0.38477404608486837,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
15,0.7499999999999996,0.022466152504439788,0.37777093464431966,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
16,0.8499999999999996,0.019960837994351117,0.3543478999158954,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
17,0.9499999999999997,0.014526714207055322,0.36283456253386814,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
18,1.0499999999999996,0.01317180096814613,0.372150217268545,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
19,1.1499999999999995,0.008560249874860667,0.3698083787943746,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
20,1.2499999999999996,0.007895549260400366,0.39597254229591894,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
21,1.3499999999999996,0.007412789926165121,0.4195059874988353,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
22,1.4499999999999993,0.01034851074983663,0.42576273765847733,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
23,1.5499999999999994,0.006320499150023927,0.42077362965599263,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
24,1.6499999999999995,0.008064873200750127,0.49217305446101217,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
25,1.7499999999999996,0.011271613504834707,0.3489366657922459,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
26,1.8499999999999996,0.003150473698780673,0.4379935277726578,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
27,1.9499999999999993,0.003155526653033818,0.267853701253548,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
28,2.0499999999999994,0.007060439268437935,0.32081191863714736,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
29,2.1499999999999995,0.002510059452958041,0.2350416595855791,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
30,2.249999999999999,0.00029357084421844,0.2227051057752231,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
31,2.349999999999999,0.0009880882863654526,0.1763571176343121,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
32,2.4499999999999993,-0.0006874522250056868,0.17257018189631115,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
