,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
358,2052.118300982052,2052.4366358120524,2052.108635282052,0.2,,0.0625,-1.0,1.0,2052.1791027800027,0.0625,1.0,1.0,0,0.0,0.0,1,0.3280005300002813,0.3280005300002813,1.515874545467812,14.608520518423306,11.836920968691508,0.9505453891409927,0.3037654009312542,0.13552266427843943,0.5607119347903062,1,1
359,2059.117434332059,2059.5816879020595,2059.105902152059,0.2,,0.125,1.0,-1.0,2059.352102780003,0.125,1.0,1.0,0,1.0,1.0,1,0.47578575000034107,0.47578575000034107,1.677411430578727,15.042792090371357,7.443327454725901,0.5787124212855161,0.550656345881822,0.33339833762965315,0.11594531648852492,1,0
360,2065.3007159420654,2066.133499322066,2065.2935166620655,0.2,,0.0,-1.0,1.0,2065.522102780003,0.0,0.0,0.75,1,0.0,0.0,1,0.8399826600007145,0.8399826600007145,1.9242703208907694,14.661978651501533,9.630553305149078,0.6918691966002252,0.5477285977468144,0.3317262862517647,0.12054511600142101,2,1
361,2070.916854272071,2071.2496209920714,2070.900789212071,0.2,,0.25,1.0,-1.0,2071.050102780003,0.25,1.0,1.0,0,1.0,1.0,1,0.3488317800006371,0.3488317800006371,1.5426160440649697,15.879976997221789,10.65134224096934,0.8361509668839864,0.5098449379432868,0.2963286040408595,0.19382645801585371,1,1
362,2074.3670092220746,2075.3752417220753,2074.3597432820743,0.2,,0.0625,1.0,-1.0,2074.189102780003,0.0625,1.0,1.0,0,1.0,1.0,1,1.0154984400010107,1.0154984400010107,2.006679260582309,14.463287280997504,4.601851864655813,0.3046910179977009,0.5502394437617307,0.3334258968831392,0.11633465935513004,0,1
363,2080.6331825420807,2081.1403984820813,2080.612351292081,0.2,,0.0,1.0,-1.0,2080.8041027800027,0.0,1.0,0.75,0,1.0,1.0,1,0.5280471900005068,0.5280471900005068,1.722672735869104,14.622636519927834,10.5160204966863,0.786507152295837,0.263697008684421,0.10329880133814115,0.6330041899774378,1,1
364,2084.315947562084,2084.789333552085,2084.2920166220842,0.2,,0.0625,1.0,-1.0,2084.399102780003,0.0625,1.0,1.0,0,1.0,1.0,1,0.4973169300005793,0.4973169300005793,1.6966332440314962,15.386046828354385,11.991671260197958,1.28490027415933,0.5390111556997065,0.32418952282671504,0.13679932147357848,2,1
365,2092.098902522092,2092.5675889820927,2092.0909366520923,0.2,,0.0625,-1.0,1.0,2092.3511027800027,0.0625,1.0,1.0,0,0.0,0.0,1,0.4766523300004337,0.4766523300004337,1.6782017203076296,15.173838468063265,10.378657902440716,0.7524575207529492,0.5669727810460238,0.3412329047096046,0.0917943142443716,1,1
366,2097.4823641220974,2097.865892432098,2097.4725651020976,0.2,,0.125,1.0,-1.0,2097.663102780003,0.125,1.0,1.0,0,1.0,1.0,1,0.3933273300003748,0.3933273300003748,1.59475412402475,14.555144838494895,8.401408183574677,0.6748806356038439,0.5515907826832162,0.3345546418421893,0.11385457547459463,1,0
367,2103.131899112103,2103.5752214421036,2103.118500452103,0.2,,0.25,1.0,-1.0,2103.249102780003,0.25,1.0,1.0,0,1.0,1.0,1,0.4567209900005764,0.4567209900005764,1.6596509713879273,15.49777506199472,9.642997558911642,0.6406247394344858,0.5501418009392669,0.33363074660489034,0.11622745245584283,1,0
